variables,expected_output,metadata
"{""input"": ""What is the part number for replacement collector bag for the 105 - Classic model?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

For the Cyclone Rake Classic model (unit 105), you have two options for a replacement collector bag, depending on the capacity you'd like:

Part #01-03-308 – Standard 200-gallon collector bag (original size for the Classic)

Part #03-03-303 – Optional upgrade to the 285-gallon collector bag (used on the Commercial model, compatible with your unit)

Both options come ready to install, so you can choose based on your yard size and how often you want to unload.

You can browse more details here:
Classic Replacement Parts","{""id"": ""Q - 137""}"
"{""input"": ""Can I use my Cyclone Rake or engine in a high altitude environment?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

Yes, you can use your Cyclone Rake and engine in high-altitude environments, but there are a few key adjustments to ensure proper performance and compliance.

What to Know About High Altitude Operation:
Fuel Requirement:
At elevations over 5,000 feet (1,524 meters), use fuel with a minimum 85 octane / 85 AKI (89 RON) rating.

Engine Adjustment Needed:
Engines operating at high altitudes may require a carburetor adjustment to maintain:

Proper fuel-to-air mixture

Emissions compliance

Optimal performance
Running without this adjustment can cause fouled spark plugs, hard starts, excess fuel use, and reduced power.

When to Consider Adjustments:
If you're operating at 3,000–4,000 feet or higher and notice your engine is running “rich,” it’s a sign you may need to adjust.

What to Do:
We recommend contacting a Briggs & Stratton authorized dealer for a proper high-altitude kit or carburetor adjustment. They can make the necessary modifications based on your elevation.

Let me know if you need help locating a service center near you!","{""id"": ""Q - 217""}"
"{""input"": ""What is the part number for replacement collector bag for the 110 - Commercial PRO Commercial Pro model?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

For your 110 – Commercial PRO model, the correct part number for the replacement collector bag is 05-03-308. This is the full Velcro-style collector bag assembly that fits the Commercial PRO, XL, and Z-10 models.

You can find the replacement bag here:
Commercial PRO, XL, and Z-10 Collector Bag – Velcro

Let me know if you need help with installation or anything else!","{""id"": ""Q - 132""}"
"{""input"": ""What is the part number for replacement Engine for a                    XL?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

For your Cyclone Rake XL, there are two replacement engine options available:

Part #05-02-302 – Briggs & Stratton 8HP Vanguard Phase II (Pull-Start)
(Standard manual pull-start option.)

Part #05-02-302E – Briggs & Stratton 8HP Vanguard Phase II (Electric-Start)
(Upgraded option featuring convenient electric start.)

To help you decide whether the electric-start option is right for you, we've created a helpful article comparing the two:

Electric Start Engine Benefits

If you have any other questions, please let me know!","{""id"": ""Q - 159""}"
"{""input"": ""What is the part number for replacement Impeller for a          105 - Classic Classic (Not XR or Cyclonic)?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

For your 105 – Classic model with a Vanguard 6.5HP Phase 1 engine, you have two compatible replacement impeller options:

Part #02-03-017 – 4-Blade Yellow Impeller w/ Hardware Kit
This is the standard replacement for Tecumseh, INTEK, and Phase 1 & 2 Vanguard engines.

Part #02-03-020 – 5-Blade Orange Impeller w/ Hardware Kit
This upgraded version delivers about 25% more suction power, which is great if you're handling heavier or more compacted debris.

You can view the installation guide here:
Replacing Your Cyclone Rake Impeller

And for other parts you may need, check out the
Aftermarket Parts section on our website.

Let me know if you’d like help choosing the right option or placing your order!","{""id"": ""Q - 143""}"
"{""input"": ""What is the part number for 7"" x 8"" MDA collar?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

The correct part number for the 7"" x 8"" MDA Collar is:

Part #01-02-486 – 7"" x 8"" MDA Collar, with Latches and Band Clamp

Please let me know if you have any other questions—I'm here to help!","{""id"": ""Q - 176""}"
"{""input"": ""Can I add an electric start to my pull-start engine?""}","Unfortunately we don't sell an electric starter kit that can be added to a pull-start engine. You may be able to contact Briggs & Stratton to ask if they would be able to retro fit an electric starter kit to your engine. However, it wouldn't be easy or cheap. They would have to tear apart the engine and add a gear to the flywheel, starter motor, wiring, key switch and battery. We do have complete electric start engines, but only for our XL and Z-10 models.","{""id"": ""Q - 185""}"
"{""input"": ""Can I use the Rake to Vacuum out insulation from my attic or saw dust from my shop?""}","Thanks for reaching out with your question! I'm happy to help you with this.

The Cyclone Rake is not designed for use with insulation or sawdust—it’s specifically built to collect organic yard debris like leaves, grass, and small twigs, either from your mower deck or using the Power Vacuum Pickup.

Here’s why it’s not suitable for insulation or sawdust:
The system isn’t sealed, so fine materials like sawdust or insulation would be blown out through the top screen, creating a bigger mess.

The blower unit is designed to process outdoor debris, not lightweight or airborne materials like attic insulation.

It could also lead to clogs or premature wear on parts not intended for this kind of material.

To keep your Cyclone Rake working its best, we recommend using it only for outdoor yard cleanup.

Let me know if you have questions about any other uses or attachments—we’re always here to help!","{""id"": ""Q - 221""}"
"{""input"": ""Why Are My Wheels Shaking So Much!?""}","It's not uncommon to notice some wheel shaking or wobbling when using your Cyclone Rake. While a certain amount of movement is actually by design, excessive shaking can be addressed with a few simple adjustments.

Our engineers purposely designed the Cyclone Rake wheels with some flexibility to help navigate bumpy terrain. If you're experiencing more wheel movement than seems normal, consider these common factors:

1. Operating Speed

Wheels tend to shake more at higher speeds, especially on hard surfaces like pavement or concrete
Try reducing your speed to see if this reduces the shaking
Remember that the Cyclone Rake is designed primarily for use on lawn surfaces, not for high-speed transportation

2. Load Distribution

An empty collector can lead to more noticeable wobbling
As the collector fills, the added weight often stabilizes the wheels
This is why the shaking might decrease as you collect more debris

3. Surface Type

Hard, flat surfaces like driveways or pavement tend to amplify wheel movement
Softer surfaces like grass and soil naturally dampen vibrations
The wheels will typically shake less on the turf areas where you'll be doing most of your work

Quick Fixes for Wheel Shaking

Adjust Tire Pressure
One of the most effective solutions is ensuring proper tire inflation:
Dual-PRO Super Wheels: Maintain 12-15 PSI per tire
Single Wheels: Maintain 20-25 PSI per tire
Use slower speeds when operating on hard surfaces
Take turns more gradually
Avoid rapid acceleration and deceleration

Incorrect tire pressure is frequently the cause of excessive wheel shaking. Check your pressure and adjust accordingly.","{""id"": ""Q - 190""}"
"{""input"": ""Do I have to charge the battery on my electric start engine every time?""}","Thanks for reaching out with your question! I'm happy to help you with this.

You don’t need to charge the battery after every use on your electric start engine. The engine includes an alternator that recharges the battery while it's running, so under normal use, it stays topped off.

When should you charge it?
If the engine will sit unused for 3 months or more, we do recommend plugging it in to charge using the original charger that came with your unit.

This helps maintain the battery’s health and ensures it’ll be ready to go when you need it next.

For more tips and guidance, check out these helpful articles:

Electric Start Engine Tips & FAQs

Charging Your Cyclone Rake Electric Start Battery – Step-by-Step Guide

Let me know if you have any other battery or engine questions—I’m always here to help.","{""id"": ""Q - 232""}"
"{""input"": ""Can I store my Cyclone Rake dry?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

While it may seem convenient, we don’t recommend storing your Cyclone Rake engine dry for long periods. Here’s why:

Why You Shouldn’t Store It Dry:
Even though we ship the engine without fluids, small amounts of oil and fuel residue are left behind from factory testing

Over time, these residues can dry out and cause internal issues, like stuck valves or gummed-up fuel components

If You Do Choose to Store It Dry:
Plan to take it out of storage in early spring (around March)

Add fresh oil, gas, and fuel stabilizer

Run the engine for about 30 minutes to circulate fluids and keep internal parts in good shape

After that, you can let it cool and store it again until fall if needed

This helps prevent startup issues and keeps your engine healthy during the off-season.

Let me know if you'd like guidance on proper storage or spring startup steps!","{""id"": ""Q - 213""}"
"{""input"": ""Can I use a Cyclone Rake alongside a Mulching Kit?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

Unfortunately, you cannot use a mulching kit while your Cyclone Rake is connected to your mower. The two systems are not compatible during operation.

Here's why:
Mulching kits block the mower’s discharge chute, which is exactly where the Cyclone Rake connects

The Cyclone Rake requires a completely open discharge chute to generate proper airflow and suction

The mulching cover or plug physically interferes with the Mower Deck Adapter (MDA) or rubber collar connection

What You’ll Need to Do:
To use the Cyclone Rake:

Remove the mulching kit

Ensure the chute is clear

Attach the MDA and hose as instructed

To mulch again:

Disconnect the Cyclone Rake

Reinstall the mulching kit

Let me know if you need help removing the kit or setting up your MDA—I’m here to help!","{""id"": ""Q - 214""}"
"{""input"": ""Can I put an 8 or 10hp engine on smaller rake""}","Thanks for reaching out with your question! I'm happy to help you with this.

You can’t install an 8HP or 10HP engine onto one of our smaller Cyclone Rake models. Each Cyclone Rake is designed with a specific engine and blower configuration to ensure everything lines up and functions properly.

Here’s why we don’t recommend it:
The shaft height of a larger engine won’t align correctly with the blower unit

The impeller would not sit properly inside the housing, which can affect performance and safety

Each unit is engineered and tested as a complete system, so mixing components can cause major issues

We always recommend using the original engine model matched to your Cyclone Rake to keep it running safely and effectively.

Let me know which model you have—I’d be glad to confirm the correct engine or upgrade options for you.","{""id"": ""Q - 211""}"
"{""input"": ""109 - Commander* vs 110 - Commercial Pro*, which one is quieter?""}",The 109 - Commander* is much quieter than the 110 - Commercial Pro.,"{""id"": ""Q - 012""}"
"{""input"": ""How to get missing items for my new 107 - Commercial Pro 8"" Jetpath?""}",We'll ship this directly to the customer.,"{""id"": ""Q - 013""}"
"{""input"": ""What lawn-and-leaf vacuum do you recommend for my dad?""}",102 - Commercial is a great vacuum for small backyards.,"{""id"": ""Q - 016""}"
